path,kind,status,bytes,evidence
phoenix-2014t_ISLR/baseline_matrix_v1,result_directory,confirmed_pre_repair,829770898,protocol_manifest_full_sha256
phoenix-2014t_ISLR/baseline_matrix_v1_smoke_5,result_directory,confirmed_pre_repair,8044204,manifest_asset_path_plus_pre_repair_execution_time
phoenix-2014t_ISLR/prediction_slide,result_directory,confirmed_pre_repair,8523819,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_adaptive_dev_tuned_span15_final_test,result_directory,confirmed_pre_repair,204989273,pre_repair_execution_time_and_frozen_evaluation_log
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_fixed_full642,result_directory,confirmed_pre_repair,299279178,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_fixed_smoke5,result_directory,confirmed_pre_repair,3561279,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_span13_full642,result_directory,confirmed_pre_repair,204991893,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_span13_smoke5,result_directory,confirmed_pre_repair,2426185,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_current_fixed,result_directory,confirmed_pre_repair,297076255,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_dev_tune_d0_fixed_s16,result_directory,confirmed_pre_repair,258185087,pre_repair_execution_time_and_dev_tuning_log
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2_s16,result_directory,confirmed_pre_repair,201849781,pre_repair_execution_time_and_dev_tuning_log
phoenix-2014t_ISLR/prediction_slide_dev_tune_d2_max3_s16,result_directory,confirmed_pre_repair,175453947,pre_repair_execution_time_and_dev_tuning_log
phoenix-2014t_ISLR/prediction_slide_origin_recheck,result_directory,confirmed_pre_repair,297076255,pre_repair_execution_time_and_run_log
phoenix-2014t_ISLR/prediction_slide_current_adaptive,result_directory,confirmed_pre_repair_incomplete,0,pre_repair_failure_log_empty_directory
phoenix-2014t_ISLR/prediction_slide_dev_tune_d0_fixed,result_directory,confirmed_pre_repair_incomplete,0,pre_repair_failure_log_empty_directory
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2,result_directory,confirmed_pre_repair_incomplete,0,pre_repair_failure_log_empty_directory
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2_retry,result_directory,confirmed_pre_repair_incomplete,0,pre_repair_failure_log_empty_directory
phoenix-2014t_ISLR/prediction_slide_origin.log,run_log,confirmed_pre_repair,10245,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_adaptive_dev_tuned_span15_final_test.log,run_log,confirmed_pre_repair,2163,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_adaptive_smoke_after_fix.log,run_log,confirmed_pre_repair,287,pre_repair_timestamp_and_phoenix_command
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_fixed_full642.log,run_log,confirmed_pre_repair,2060,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_fixed_smoke5.log,run_log,confirmed_pre_repair,2112,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_span13_full642.log,run_log,confirmed_pre_repair,2162,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_adaptive_v2_span13_smoke5.log,run_log,confirmed_pre_repair,2215,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_current_adaptive.log,run_log,confirmed_pre_repair_incomplete,882,pre_repair_failure_timestamp_and_command
phoenix-2014t_ISLR/prediction_slide_current_fixed.log,run_log,confirmed_pre_repair,1739,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_dev_tune_d0_fixed.log,run_log,confirmed_pre_repair_incomplete,1202,pre_repair_failure_timestamp_and_command
phoenix-2014t_ISLR/prediction_slide_dev_tune_d0_fixed_s16.log,run_log,confirmed_pre_repair,2056,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2.log,run_log,confirmed_pre_repair_incomplete,1201,pre_repair_failure_timestamp_and_command
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2_retry.log,run_log,confirmed_pre_repair_incomplete,1201,pre_repair_failure_timestamp_and_command
phoenix-2014t_ISLR/prediction_slide_dev_tune_d1_max2_s16.log,run_log,confirmed_pre_repair,2158,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_dev_tune_d2_max3_s16.log,run_log,confirmed_pre_repair,2159,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/prediction_slide_origin_recheck.log,run_log,confirmed_pre_repair,1739,pre_repair_timestamp_and_corresponding_result
phoenix-2014t_ISLR/baseline_matrix_v1_repaired_49faacc3,result_directory,confirmed_post_repair,829798777,protocol_manifest_full_sha256
phoenix-2014t_ISLR/baseline_matrix_v1_repaired_runtime_49faacc3,result_directory,confirmed_post_repair,84774808,protocol_manifest_full_sha256
phoenix-2014t_ISLR/baseline_matrix_v1_repaired_49faacc3_smoke_1,result_directory,confirmed_post_repair,81666,recovery_log_and_post_repair_execution_time
data/phoenix_2014t/PHOENIX2014T_videos.incomplete_81629b2f.zip,data_asset,confirmed_pre_repair,41720845149,recovery_audit_full_sha256
data/phoenix_2014t/PHOENIX2014T_videos.zip,data_asset,confirmed_post_repair,41723658945,recovery_audit_full_sha256
